日期時間,餐別,品牌,產品名稱,攝取份量,熱量 (kcal),蛋白質 (g),脂肪 (g),碳水化合物 (g),備註
2026-03-02 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-02 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-02 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-03 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-03 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-03 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-04 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-04 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-04 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-05 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-05 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-05 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-06 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-06 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-06 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-07 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-07 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-07 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-08 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-08 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-08 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-09 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-09 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-09 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-10 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-10 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-10 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-11 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-11 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-11 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-12 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-12 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-12 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-13 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-13 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-13 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-14 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-14 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-14 19:30,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
2026-03-14 19:55,點心,示範,黑巧克力,2 片,110,1.5,8,9,
2026-03-15 08:10,早餐,示範,全麥吐司＋水煮蛋＋無糖豆漿,1份,380,18,12,45,
2026-03-15 12:30,午餐,示範,雞腿飯＋燙青菜,1份,640,32,22,70,
2026-03-15 19:00,晚餐,示範,鮭魚＋糙米飯＋味噌湯,1份,520,30,18,58,
